,Campaign #1,Campaign #2,Campaign #3,Campaign #4,Campaign #5,Campaign #6,Cluster
0,0,0,0,0,0,1,Super Client
1,0,0,0,0,0,0,Casual Client
2,0,0,0,0,0,0,Good Client
3,0,0,0,0,0,0,Casual Client
4,0,0,0,0,0,0,Potential Good Client
5,0,0,0,0,0,0,Good Client
6,0,0,0,0,0,0,Good Client
7,0,0,0,0,0,0,Casual Client
8,0,0,0,0,0,1,Casual Client
9,0,0,1,0,0,0,Casual Client
10,0,0,0,0,0,0,Casual Client
11,0,0,0,0,0,0,Casual Client
12,0,0,0,0,0,0,Super Client
13,0,0,0,0,0,0,Potential Good Client
14,0,0,0,0,0,0,Casual Client
15,1,0,0,0,1,1,Super Client
16,0,0,0,0,0,0,Casual Client
17,0,0,0,0,0,0,Casual Client
18,1,0,0,0,0,0,Good Client
19,0,0,0,0,0,0,Casual Client
20,0,0,0,0,0,0,Casual Client
21,0,0,0,0,0,0,Good Client
22,0,0,0,1,0,0,Potential Good Client
23,0,0,0,0,0,0,Good Client
24,0,0,0,0,0,0,Potential Good Client
25,0,0,0,0,0,0,Casual Client
26,0,0,0,0,0,0,Potential Good Client
27,0,0,0,0,0,0,Super Client
28,0,0,0,0,0,0,Casual Client
29,0,0,0,0,1,0,Super Client
30,0,0,0,0,0,0,Casual Client
31,0,0,0,0,0,0,Casual Client
32,0,0,0,1,0,0,Casual Client
33,0,0,0,0,0,1,Potential Good Client
34,0,0,0,0,0,0,Good Client
35,0,0,0,0,0,0,Casual Client
36,0,0,0,0,0,0,Good Client
37,0,0,0,0,0,0,Casual Client
38,0,0,0,0,0,0,Casual Client
39,0,0,1,0,0,1,Good Client
40,0,0,0,0,0,0,Super Client
41,0,0,0,0,0,0,Casual Client
42,0,0,0,0,0,0,Casual Client
43,0,0,0,0,0,0,Casual Client
44,0,0,0,0,0,0,Casual Client
45,0,0,0,0,0,0,Super Client
46,0,0,0,0,0,1,Casual Client
47,0,0,0,0,0,0,Casual Client
48,0,0,0,0,0,0,Casual Client
49,0,0,0,0,0,0,Good Client
50,0,0,0,0,0,0,Good Client
51,0,0,0,0,0,0,Super Client
52,0,0,0,0,0,0,Casual Client
53,1,0,1,0,0,1,Super Client
54,0,0,0,0,0,0,Potential Good Client
55,0,0,0,0,1,1,Super Client
56,0,0,0,0,0,1,Super Client
57,0,0,0,0,0,0,Casual Client
58,0,0,0,0,0,0,Casual Client
59,0,0,0,0,0,0,Potential Good Client
60,0,0,0,1,1,1,Super Client
61,0,0,0,0,0,0,Good Client
62,0,0,0,0,0,0,Good Client
63,0,0,0,0,0,0,Good Client
64,0,0,0,0,0,0,Super Client
65,0,0,0,0,0,1,Casual Client
66,0,0,0,0,0,0,Casual Client
67,1,0,1,0,0,1,Super Client
68,0,0,0,0,0,0,Good Client
69,0,0,0,0,0,0,Good Client
70,0,0,0,0,0,0,Super Client
71,0,0,0,0,0,0,Casual Client
72,0,0,0,0,0,0,Good Client
73,0,0,0,1,0,0,Potential Good Client
74,0,0,0,0,0,0,Casual Client
75,0,0,0,0,0,0,Casual Client
76,0,0,0,0,0,1,Super Client
77,0,0,1,0,0,1,Super Client
78,0,0,0,0,0,0,Casual Client
79,0,0,1,0,0,1,Good Client
80,0,0,0,0,0,0,Casual Client
81,0,0,0,0,0,0,Casual Client
82,0,0,0,0,0,0,Casual Client
83,0,0,0,0,0,0,Casual Client
84,0,0,0,0,0,0,Super Client
85,0,0,0,0,0,0,Casual Client
86,0,0,0,1,0,0,Potential Good Client
87,1,0,0,1,0,1,Potential Good Client
88,0,0,0,0,1,0,Super Client
89,0,0,0,0,0,0,Casual Client
90,0,0,0,0,0,0,Potential Good Client
91,0,0,0,0,0,0,Casual Client
92,0,0,0,0,0,0,Super Client
93,0,0,0,0,0,0,Casual Client
94,0,0,0,0,0,0,Casual Client
95,0,0,0,0,0,0,Casual Client
96,0,0,0,1,0,0,Potential Good Client
97,0,0,0,0,0,0,Casual Client
98,1,0,0,0,0,0,Super Client
99,0,0,0,0,0,0,Good Client
100,0,0,0,0,0,0,Casual Client
101,0,0,0,0,0,0,Casual Client
102,0,0,0,0,0,0,Super Client
103,0,0,0,0,0,0,Good Client
104,0,0,0,0,0,1,Super Client
105,0,0,0,0,0,0,Casual Client
106,0,0,0,0,0,0,Potential Good Client
107,0,0,0,0,0,0,Good Client
108,0,0,0,0,0,0,Casual Client
109,0,0,0,0,0,0,Good Client
110,0,0,0,0,0,0,Super Client
111,0,0,0,1,0,1,Good Client
112,0,0,0,1,0,0,Potential Good Client
113,0,0,0,1,1,1,Super Client
114,0,0,0,0,0,0,Potential Good Client
115,0,0,0,0,0,0,Casual Client
116,1,0,0,0,1,0,Super Client
117,0,0,0,0,0,0,Good Client
118,0,0,0,0,0,0,Casual Client
119,0,0,0,0,0,0,Casual Client
120,0,0,0,0,0,0,Good Client
121,0,0,0,0,0,1,Casual Client
122,0,0,0,0,0,0,Casual Client
123,0,0,0,0,0,0,Casual Client
124,1,0,0,1,1,1,Super Client
125,0,0,0,0,0,0,Good Client
126,0,0,0,0,0,1,Super Client
127,0,0,0,0,0,0,Casual Client
128,0,0,0,0,0,0,Potential Good Client
129,0,0,0,0,0,0,Good Client
130,0,0,0,0,0,0,Good Client
131,0,0,0,0,0,0,Potential Good Client
132,0,0,0,0,0,0,Super Client
133,0,0,0,0,0,0,Good Client
134,0,0,0,0,0,0,Potential Good Client
135,0,0,0,1,0,0,Super Client
136,0,0,0,0,0,0,Casual Client
137,0,0,0,0,0,0,Potential Good Client
138,0,0,1,0,0,1,Casual Client
139,0,0,0,0,0,0,Casual Client
140,0,0,0,0,0,0,Super Client
141,0,0,0,0,0,1,Good Client
142,0,0,0,0,0,0,Super Client
143,0,0,0,0,0,0,Good Client
144,0,0,0,0,0,0,Casual Client
145,0,0,0,0,0,0,Good Client
146,0,0,0,0,0,1,Casual Client
147,0,0,0,0,0,0,Casual Client
148,0,0,0,0,0,0,Potential Good Client
149,0,0,0,0,0,0,Casual Client
150,0,0,0,0,0,0,Good Client
151,0,0,0,1,0,0,Potential Good Client
152,0,0,0,0,0,0,Potential Good Client
153,0,0,0,0,0,0,Casual Client
154,0,0,0,0,0,0,Good Client
155,0,0,0,1,1,1,Good Client
156,0,0,0,0,0,0,Casual Client
157,0,0,0,0,0,0,Casual Client
158,0,0,0,0,0,0,Casual Client
159,0,0,0,0,0,0,Super Client
160,0,0,0,0,0,0,Casual Client
161,0,0,0,0,0,0,Good Client
162,0,0,0,0,0,0,Casual Client
163,0,0,0,0,0,0,Good Client
164,0,0,0,0,0,0,Good Client
165,0,0,0,0,0,0,Casual Client
166,0,0,1,0,0,0,Good Client
167,0,0,0,1,0,0,Casual Client
168,0,0,0,0,0,0,Super Client
169,0,0,0,0,0,0,Casual Client
170,0,0,0,0,0,0,Casual Client
171,0,0,0,0,0,0,Casual Client
172,0,0,0,0,0,0,Casual Client
173,0,0,0,0,0,0,Casual Client
174,0,0,1,0,0,0,Casual Client
175,0,0,0,0,0,0,Super Client
176,1,0,0,1,0,1,Super Client
177,0,0,0,0,0,0,Casual Client
178,0,0,0,0,0,0,Casual Client
179,1,0,0,0,0,0,Super Client
180,0,0,0,0,0,0,Casual Client
181,0,0,0,0,0,0,Casual Client
182,0,0,0,0,0,0,Good Client
183,0,0,0,0,0,0,Casual Client
184,0,0,0,0,0,0,Casual Client
185,0,0,0,0,0,0,Casual Client
186,0,0,0,0,0,0,Casual Client
187,0,0,0,0,0,0,Good Client
188,0,0,0,0,0,0,Super Client
189,0,0,0,0,0,0,Casual Client
190,0,0,1,0,0,0,Casual Client
191,0,0,0,0,0,0,Super Client
192,0,0,0,0,0,0,Casual Client
193,0,0,0,0,0,0,Potential Good Client
194,0,0,0,0,0,0,Casual Client
195,0,0,0,0,0,0,Good Client
