DaysBeingCustomer,Recency,Age,Income,Education,Marital_Status,Kids,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumStorePurchases,NumCatalogPurchases,NumWebPurchases,NumWebVisitsMonth,TotalProductsL2Y,TotalPurchasesL2Y,AvgProductsPerTrip,SharePurchasesOnDeal
1000,58,57,58138.0,Graduate,Single,0,635,88,546,172,88,88,3,4,10,8,7,1617,22,73.5,13.6
154,38,60,46344.0,Graduate,Single,2,11,1,6,2,1,6,2,2,1,1,5,27,4,6.8,50.0
501,26,49,71613.0,Graduate,Together,0,426,49,127,111,21,42,1,10,2,8,4,776,20,38.8,5.0
94,26,30,26646.0,Graduate,Together,1,11,4,20,10,3,5,2,4,0,2,6,53,6,8.8,33.3
350,94,33,58293.0,Postgraduate,Married,1,173,43,118,46,27,15,5,6,3,5,5,422,14,30.1,35.7
482,16,47,62513.0,Postgraduate,Together,1,520,42,98,0,42,14,2,10,4,6,6,716,20,35.8,10.0
782,34,43,55635.0,Graduate,Divorced,1,235,65,164,50,49,27,4,7,3,7,6,590,17,34.7,23.5
517,32,29,33454.0,Postgraduate,Married,1,76,10,56,3,1,23,2,4,0,4,8,169,8,21.1,25.0
577,19,40,30351.0,Postgraduate,Together,1,14,0,24,3,3,2,1,2,0,3,9,46,5,9.2,20.0
297,68,64,5648.0,Postgraduate,Together,2,28,0,6,1,1,13,1,0,0,1,20,49,1,49.0,100.0
415,11,31,52143.19977678572,Graduate,Married,1,5,5,6,0,2,1,1,2,0,1,7,19,3,6.3,33.3
782,59,38,7500.0,Undergraduate,Married,0,6,16,11,11,1,16,1,3,0,2,8,61,5,12.2,20.0
415,82,55,63033.0,Graduate,Divorced,0,194,61,480,225,112,30,1,8,4,3,2,1102,15,73.5,6.7
415,53,62,59354.0,Postgraduate,Divorced,2,233,2,53,3,5,14,3,5,1,6,6,310,12,25.8,25.0
816,38,27,17323.0,Graduate,Married,0,3,14,17,6,1,5,1,3,0,1,8,46,4,11.5,25.0
771,23,68,82800.0,Postgraduate,Single,0,1006,22,115,59,68,45,1,12,6,7,3,1315,25,52.6,4.0
741,51,34,41850.0,Graduate,Married,2,53,5,19,2,13,4,3,3,0,3,8,96,6,16.0,50.0
856,20,68,37760.0,Graduate,Together,0,84,5,38,150,12,28,2,6,1,4,7,317,11,28.8,18.2
647,91,65,76995.0,Postgraduate,Married,1,1012,80,498,0,16,176,2,9,4,11,5,1782,24,74.2,8.3
1029,86,29,33812.0,Undergraduate,Single,1,4,17,19,30,24,39,2,3,1,2,6,133,6,22.2,33.3
879,41,32,37040.0,Graduate,Married,0,86,2,73,69,38,48,1,5,2,4,8,316,11,28.7,9.1
582,42,35,2447.0,Graduate,Married,1,1,1,1725,1,1,1,15,0,28,0,1,1730,28,61.8,53.6
742,63,65,58607.0,Postgraduate,Married,1,867,0,86,0,0,19,3,9,3,2,8,972,14,69.4,21.4
64,0,60,65324.0,Postgraduate,Married,1,384,0,102,21,32,5,3,9,2,6,4,544,17,32.0,17.6
657,69,63,40689.0,Graduate,Together,1,270,3,27,39,6,99,7,5,1,7,8,444,13,34.2,53.8
702,89,45,18589.0,Graduate,Single,0,6,4,25,15,12,13,2,3,1,2,7,75,6,12.5,33.3
587,4,38,53359.0,Graduate,Married,2,173,4,30,3,6,41,4,4,1,5,7,257,10,25.7,40.0
683,19,28,52143.19977678572,Graduate,Single,1,5,1,3,3,263,362,0,0,0,27,1,637,27,23.6,0.0
583,26,25,38360.0,Graduate,Married,1,36,2,42,20,21,10,2,4,1,2,3,131,7,18.7,28.6
408,96,49,84618.0,Postgraduate,Married,0,684,100,801,21,66,0,1,10,9,6,2,1672,25,66.9,4.0
227,34,25,10979.0,Postgraduate,Divorced,0,8,4,10,2,2,4,2,3,0,3,5,30,6,5.0,33.3
425,56,51,38620.0,Postgraduate,Together,0,112,17,44,34,22,89,1,3,5,2,3,318,10,31.8,10.0
816,31,44,40548.0,Graduate,Together,1,110,0,5,2,0,3,2,4,1,2,5,120,7,17.1,28.6
797,8,62,46610.0,Postgraduate,Divorced,2,96,12,96,33,22,43,6,6,1,4,6,302,11,27.5,54.5
683,4,68,68657.0,Postgraduate,Married,0,482,34,471,119,68,22,1,9,5,3,7,1196,17,70.4,5.9
493,55,63,49389.0,Postgraduate,Single,2,40,0,19,2,1,3,1,3,0,2,7,65,5,13.0,20.0
369,37,44,67353.0,Postgraduate,Married,1,702,17,151,0,8,35,5,12,6,5,2,913,23,39.7,21.7
694,76,38,23718.0,Undergraduate,Married,1,6,3,14,15,7,36,3,2,1,3,7,81,6,13.5,50.0
63,99,41,42429.0,Graduate,Widow,1,55,0,6,2,0,4,2,3,1,1,5,67,5,13.4,40.0
732,53,71,48948.0,Postgraduate,Divorced,0,437,8,206,160,49,42,2,5,10,7,6,902,22,41.0,9.1
